,test,sampling_scheme,powder,mean,sd,cv,n
1,HHR,11 g discrete,A,1.46,0.28,18.87,3
2,HHR,11 g discrete,B,4.88,0.06,1.13,3
3,HHR,11 g discrete,C,1.60,0.52,32.55,3
4,HHR,11 g discrete,D,3.11,0.07,2.28,3
5,HHR,11 g discrete,E,2.73,0.07,2.62,3
6,HHR,11 g discrete,F,3.77,0.12,3.26,3
7,HHR,11 g discrete,G,2.59,0.19,7.37,3
8,HHR,11 g discrete,H,1.62,0.63,38.77,3
9,HHR,11 g discrete,I,3.27,0.10,3.08,3
10,HHR,11 g discrete,J,3.30,0.03,0.79,3
11,HHR,33 g composite,A,1.30,0.30,23.14,3
12,HHR,33 g composite,B,4.92,0.05,0.98,3
13,HHR,33 g composite,C,1.92,0.15,7.88,3
14,HHR,33 g composite,D,2.84,0.15,5.11,3
15,HHR,33 g composite,E,2.75,0.03,1.13,3
16,HHR,33 g composite,F,3.72,0.10,2.56,3
17,HHR,33 g composite,G,2.82,0.16,5.56,3
18,HHR,33 g composite,H,1.89,0.11,5.87,3
19,HHR,33 g composite,I,3.16,0.09,3.01,3
20,HHR,33 g composite,J,3.40,0.03,0.77,3
21,HHR,33 g discrete,A,1.36,0.39,28.86,3
22,HHR,33 g discrete,B,5.02,0.03,0.65,3
23,HHR,33 g discrete,C,1.74,0.42,24.33,3
24,HHR,33 g discrete,D,2.89,0.13,4.39,3
25,HHR,33 g discrete,E,2.73,0.11,4.06,3
26,HHR,33 g discrete,F,3.64,0.07,2.00,3
27,HHR,33 g discrete,G,3.10,0.15,4.92,3
28,HHR,33 g discrete,H,1.60,0.30,18.79,3
29,HHR,33 g discrete,I,3.24,0.06,1.89,3
30,HHR,33 g discrete,J,3.33,0.07,1.99,3
31,SP MSC,11 g discrete,A,1.90,0.21,11.18,3
32,SP MSC,11 g discrete,B,1.73,0.51,29.57,3
33,SP MSC,11 g discrete,C,1.89,0.11,5.87,3
34,SP MSC,11 g discrete,D,1.99,0.09,4.42,3
35,SP MSC,11 g discrete,E,2.47,0.14,5.74,3
36,SP MSC,11 g discrete,F,1.46,0.41,27.95,3
37,SP MSC,11 g discrete,G,1.84,0.21,11.31,3
38,SP MSC,11 g discrete,H,2.05,0.18,8.86,3
39,SP MSC,11 g discrete,I,1.80,0.17,9.64,3
40,SP MSC,11 g discrete,J,1.60,0.30,18.79,3
41,SP MSC,33 g composite,A,2.06,0.25,11.93,3
42,SP MSC,33 g composite,B,1.94,0.19,9.63,3
43,SP MSC,33 g composite,C,1.76,0.41,23.17,3
44,SP MSC,33 g composite,D,1.84,0.21,11.31,3
45,SP MSC,33 g composite,E,2.50,0.03,1.26,3
46,SP MSC,33 g composite,F,1.50,0.35,23.15,3
47,SP MSC,33 g composite,G,1.70,0.35,20.42,3
48,SP MSC,33 g composite,H,1.60,0.30,18.79,3
49,SP MSC,33 g composite,I,1.94,0.06,2.89,3
50,SP MSC,33 g composite,J,1.20,0.17,14.48,3
51,SP MSC,33 g discrete,A,1.94,0.28,14.22,3
52,SP MSC,33 g discrete,B,1.96,0.22,11.16,3
53,SP MSC,33 g discrete,C,1.94,0.28,14.22,3
54,SP MSC,33 g discrete,D,2.02,0.12,6.07,3
55,SP MSC,33 g discrete,E,2.54,0.09,3.50,3
56,SP MSC,33 g discrete,F,1.40,0.17,12.40,3
57,SP MSC,33 g discrete,G,1.89,0.26,13.50,3
58,SP MSC,33 g discrete,H,1.86,0.07,3.88,3
59,SP MSC,33 g discrete,I,1.52,0.45,29.58,3
60,SP MSC,33 g discrete,J,1.20,0.17,14.48,3
61,STSE,11 g discrete,A,1.00,0.00,0.00,3
62,STSE,11 g discrete,B,1.00,0.00,0.00,3
63,STSE,11 g discrete,C,1.52,0.45,29.58,3
64,STSE,11 g discrete,D,2.21,0.11,5.12,3
65,STSE,11 g discrete,E,1.00,0.00,0.00,3
66,STSE,11 g discrete,F,3.40,0.07,2.17,3
67,STSE,11 g discrete,G,2.10,0.17,8.27,3
68,STSE,11 g discrete,H,1.72,0.10,5.91,3
69,STSE,11 g discrete,I,1.72,0.49,28.37,3
70,STSE,11 g discrete,J,3.06,0.06,1.94,3
71,STSE,33 g composite,A,1.00,0.00,0.00,3
72,STSE,33 g composite,B,1.56,0.49,31.36,3
73,STSE,33 g composite,C,2.02,0.12,6.07,3
74,STSE,33 g composite,D,2.51,0.10,4.06,3
75,STSE,33 g composite,E,1.00,0.00,0.00,3
76,STSE,33 g composite,F,3.38,0.07,2.02,3
77,STSE,33 g composite,G,2.49,0.19,7.65,3
78,STSE,33 g composite,H,1.72,0.49,28.37,3
79,STSE,33 g composite,I,1.89,0.26,13.50,3
80,STSE,33 g composite,J,3.06,0.09,2.84,3
81,STSE,33 g discrete,A,1.00,0.00,0.00,3
82,STSE,33 g discrete,B,1.52,0.66,43.15,3
83,STSE,33 g discrete,C,1.66,0.10,6.12,3
84,STSE,33 g discrete,D,2.50,0.03,1.09,3
85,STSE,33 g discrete,E,1.30,0.30,23.14,3
86,STSE,33 g discrete,F,3.37,0.05,1.50,3
87,STSE,33 g discrete,G,2.23,0.10,4.52,3
88,STSE,33 g discrete,H,1.30,0.00,0.00,3
89,STSE,33 g discrete,I,1.82,0.24,13.26,3
90,STSE,33 g discrete,J,3.00,0.09,3.07,3
